Security Code,Issuer Name,Security Id,Security Name,Face Value,Industry,Instrument,CurrentPrice,ROCE,StockP/E,EPS,Earningsyield
500002,ABB India Limited,ABB,ABB India Limited,2,Heavy Electrical Equipment,Equity,2389,9.77,362,6.65,0.54
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,1,Oil Marketing & Distribution,Equity,220,16.6,25.9,8.51,5.35
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,1,Auto Parts & Equipment,Equity,633,21.6,16.6,38.1,8.28
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,10,Pharmaceuticals,Equity,44,18.2,4.97,7.01,23.3
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,2,Housing Finance ,Equity,2569,9.23,22.4,115,5.74
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,10,Commodity Chemicals,Equity,,,,,
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,5,Realty,Equity,15.2,6.47,,-3.75,9.1
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,10,Finance (including NBFCs),Equity,6.84,11.4,13.1,0.52,31.2
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,10,Hotels,Equity,,,,,
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,2,Textiles,Equity,114,0.6,,-21.8,1.87
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,10,Hotels,Equity,81,-1.78,,-509,-1.74
500027,"Atul Limited.,",ATUL,ATUL LTD.,10,Specialty Chemicals,Equity,9922,24,43.4,228,3.1
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,10,Construction & Engineering,Equity,,,,,
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,2,Household Appliances,Equity,1220,12.3,72,,
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,1,Sugar,Equity,16.6,-0.44,,-2.01,0.24
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,10,Cars & Utility Vehicles,Equity,1335,-5.27,,-59.3,-2.93
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,2,Finance (including NBFCs),Equity,7530,9.39,76.3,98.7,2.93
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,1,Sugar,Equity,453,16.5,21.9,20.1,6.15
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,2,Auto Parts & Equipment,Equity,187,18.7,8.87,21,16.5
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,10,Paper & Paper Products,Equity,971,0.75,151,6.45,1.69
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,10,Sugar,Equity,,,,,
500042,BASF India Ltd,BASF,BASF INDIA LTD.,10,Specialty Chemicals,Equity,3190,,64.2,125,2.46
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,5,Footwear,Equity,2053,-0.06,977,1.84,0.5
500048,BEML Ltd,BEML,BEML LTD.,10,Commercial Vehicles,Equity,1829,4.55,74.8,24.5,2.01
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,1,Defence,Equity,212,27.9,22.6,9.42,6.12
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,1,Specialty Chemicals,Equity,148,86.2,5.58,26.5,26
500058,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,10,Iron & Steel/Interm.Products,Equity,,,,,
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,10,Other Elect.Equip./ Prod.,Equity,,,,,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,2,Consumer Electronics,Equity,1004,12.7,65,15.4,2.75
500068,Disa India Ltd.,DISAQ,DISA INDIA LTD.,10,Industrial Machinery,Equity,7040,18.3,30.5,231,5.47
500069,BNK Capital Markets Ltd.,BNKCAP,BNK CAPITAL MARKETS LTD.,10,Other Financial Services,Equity,311,2.72,20,15.5,5.15
500074,"BPL Ltd.,",BPL,BPL LTD.,10,Consumer Electronics,Equity,67,,,-2.85,0.44
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,5,Specialty Chemicals,Equity,753,24.4,27,27.8,5.01
500083,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,1,Aluminium,Equity,,,,,
500084,"CESC Limited,",CESC,CESC LTD.,1,Electric Utilities,Equity,91,13,8.87,,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,10,Fertilizers,Equity,477,20.2,12.9,43.4,10.1
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,1,Auto Parts & Equipment,Equity,178,17,19,9.33,7.99
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,2,Pharmaceuticals,Equity,882,17.6,27.5,,
500089,DIC India Ltd,DICIND,DIC INDIA LTD.,10,Specialty Chemicals,Equity,411,15.2,17.1,24,9.82
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,1,Other Financial Services,Equity,2925,37.4,52.2,56,2.56
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,2,Heavy Electrical Equipment,Equity,179,8.32,,-0.09,1.49
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,1,Personal Products,Equity,560,27.3,54.6,10.2,2.33
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,2,Sugar,Equity,476,14.5,14.2,33.7,8.49
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,10,Textiles,Equity,142,4.62,25.9,5.38,8.33
500102,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,2,Paper & Paper Products,Equity,2.5,2.79,,,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,2,Heavy Electrical Equipment,Equity,61.7,-9.69,,-5.01,-9.9
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,10,Refineries/ Petro-Products,Equity,325,19.4,4.93,64.5,14.8
500106,IFCI Ltd.,IFCI,IFCI LTD.,10,Financial Institutions,Equity,16.4,-5.84,,,
500108,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,10,Telecom Services,Equity,31.4,-3.48,,-41,-1.64
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,10,Refineries/ Petro-Products,Equity,44.6,-1.34,,-3.35,0.47
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,10,Refineries/ Petro-Products,Equity,113,16.1,,-12.5,7.76
500111,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,10,Finance (including NBFCs),Equity,16.3,-31.8,,-311,-18.8
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,1,Banks,Equity,511,4.53,13.5,32.1,4.74
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,10,Iron & Steel/Interm.Products,Equity,106,11.2,3.28,31.9,32.4
500114,Titan Company Limited,TITAN,Titan Company Limited,1,Other Apparels & Accessories,Equity,2564,13,130,,
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,10,Banks,Equity,50.6,4.45,24.6,2.05,4.96
500117,"DCW Ltd.,",DCW,DCW LTD.,2,Commodity Chemicals,Equity,45.8,1.23,,-0.28,0.8
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,10,Sugar,Equity,400,13.7,12.3,32.6,11.3
